[15-02-23 01:21:51.426][info] Init chat system....
[15-02-23 01:21:51.426][info] Mode: multiplayer.
[15-02-23 01:21:51.426][info] Chat owner: EL-Mao'.
[15-02-23 03:31:42.264][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:42.485][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:42.681][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:42.932][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:43.130][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:43.312][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:43.489][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:43.632][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:43.815][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:43.948][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:44.099][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:44.249][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:44.376][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:44.565][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:45.168][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:45.341][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:45.548][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:45.735][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:48.214][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:48.405][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:48.665][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:48.986][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:49.799][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:50.187][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:50.556][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:50.984][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:51.515][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:52.604][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:53.345][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:54.321][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:31:54.881][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:55.982][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:57.831][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:31:59.482][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:31:59.987][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:32:00.756][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:01.765][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:03.785][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:04.895][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:32:05.709][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:06.550][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:07.431][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:32:08.282][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:32:09.598][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:32:10.460][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:32:11.715][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:32:13.023][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
[15-02-23 03:32:14.548][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:18.781][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY!'}.
[15-02-23 03:32:19.817][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='HEY YOU!'}.
[15-02-23 03:33:14.190][info] Got message from server: ChatMessage{chat=Local, author='Gym Burger', text='OVER HERE!'}.
